ID;Active (0/1);Name *;Categories (x,y,z...);Reference #;EAN13;Tags,(x,y,z...);Feature(Name:Value:Position)
618;1;Rajaji National Park;8;Haridwar & Dehradun & Pauri;Uttarakhand;Rajaji,National,Park,Haridwar,&,Dehradun,&,Pauri,Uttarakhand;State:Uttarakhand,Dist/Location:Haridwar & Dehradun & Pauri
619;1;Rudraprayag;8;Rudraprayag;Uttarakhand;Rudraprayag,Rudraprayag,Uttarakhand;State:Uttarakhand,Dist/Location:Rudraprayag
620;1;Roorkee;8;Roorkee;Uttarakhand;Roorkee,Roorkee,Uttarakhand;State:Uttarakhand,Dist/Location:Roorkee
621;1;Chaukori;8;Kumaon;Uttarakhand;Chaukori,Kumaon,Uttarakhand;State:Uttarakhand,Dist/Location:Kumaon
622;1;Ramgarh;8;Nainital;Uttarakhand;Ramgarh,Nainital,Uttarakhand;State:Uttarakhand,Dist/Location:Nainital
623;1;Devprayag;8;Garhwal;Uttarakhand;Devprayag,Garhwal,Uttarakhand;State:Uttarakhand,Dist/Location:Garhwal
624;1;Kotdwar temple & river;8;Garhwal;Uttarakhand;Kotdwar,temple,&,river,Garhwal,Uttarakhand;State:Uttarakhand,Dist/Location:Garhwal
625;1;Harsil;8;;Uttarakhand;Harsil,Uttarakhand;State:Uttarakhand,Dist/Location:
626;1;Bageshwar;8;Bageshwar;Uttarakhand;Bageshwar,Bageshwar,Uttarakhand;State:Uttarakhand,Dist/Location:Bageshwar
627;1;Kashipur;8;Udham Singh Nagar;Uttarakhand;Kashipur,Udham,Singh,Nagar,Uttarakhand;State:Uttarakhand,Dist/Location:Udham Singh Nagar
628;1;Srinagar;8;Garhwal;Uttarakhand;Srinagar,Garhwal,Uttarakhand;State:Uttarakhand,Dist/Location:Garhwal
629;1;Pangot;8;Nainital;Uttarakhand;Pangot,Nainital,Uttarakhand;State:Uttarakhand,Dist/Location:Nainital
630;1;Chamba;8;Garhwal;Uttarakhand;Chamba,Garhwal,Uttarakhand;State:Uttarakhand,Dist/Location:Garhwal
631;1;Ukhimath;8;Rudraprayag;Uttarakhand;Ukhimath,Rudraprayag,Uttarakhand;State:Uttarakhand,Dist/Location:Rudraprayag
632;1;Pithoragarh;8;Almora;Uttarakhand;Pithoragarh,Almora,Uttarakhand;State:Uttarakhand,Dist/Location:Almora
633;1;Landour;8;Mussoorie;Uttarakhand;Landour,Mussoorie,Uttarakhand;State:Uttarakhand,Dist/Location:Mussoorie
634;1;Lohaghat;8;Champawat;Uttarakhand;Lohaghat,Champawat,Uttarakhand;State:Uttarakhand,Dist/Location:Champawat
